stepcount_18,strategy_18,strat code_18,move_18,probabilities_18,utility_18,common_move_18,number_coop_18,number_defect_18,outcomes_18,p1_18,p2_18,p3_18,p4_18,u1_18,u2_18,u3_18,u4_18,m1_18,m2_18,m3_18,m4_18
True,WSLS,7,"{19: 'C', 26: 'C', 17: 'C', 10: 'C'}","{19: 0.47, 26: 0.47, 17: 0.54, 10: 0.54}",0,['C'],4,0,"{19: ['C', 'C'], 26: ['C', 'C'], 17: ['C', 'D'], 10: ['C', 'D']}",0.47,0.47,0.54,0.54,1.5,1.5,-2,-2,1,1,1,1
2,WSLS,7,"{19: 'C', 26: 'C', 17: 'D', 10: 'D'}","{19: 0.43999999999999995, 26: 0.43999999999999995, 17: 0.56, 10: 0.56}",-1.0,Eq,4,0,"{19: ['C', 'C'], 26: ['C', 'C'], 17: ['D', 'D'], 10: ['D', 'D']}",0.43999999999999995,0.43999999999999995,0.56,0.56,3.0,3.0,-1,-1,1,1,2,2
3,WSLS,7,"{19: 'C', 26: 'C', 17: 'C', 10: 'C'}","{19: 0.4099999999999999, 26: 0.4099999999999999, 17: 0.53, 10: 0.53}",4.0,['C'],2,2,"{19: ['C', 'C'], 26: ['C', 'C'], 17: ['C', 'C'], 10: ['C', 'C']}",0.4099999999999999,0.4099999999999999,0.53,0.53,4.5,4.5,0.5,0.5,1,1,1,1
4,WSLS,7,"{19: 'C', 26: 'C', 17: 'C', 10: 'C'}","{19: 0.3799999999999999, 26: 0.3799999999999999, 17: 0.5, 10: 0.5}",10.0,['C'],4,0,"{19: ['C', 'C'], 26: ['C', 'C'], 17: ['C', 'C'], 10: ['C', 'C']}",0.3799999999999999,0.3799999999999999,0.5,0.5,6.0,6.0,2.0,2.0,1,1,1,1
5,WSLS,7,"{19: 'C', 26: 'C', 17: 'C', 10: 'C'}","{19: 0.34999999999999987, 26: 0.34999999999999987, 17: 0.54, 10: 0.47}",16.0,['C'],4,0,"{19: ['C', 'C'], 26: ['C', 'C'], 17: ['C', 'D'], 10: ['C', 'C']}",0.34999999999999987,0.34999999999999987,0.54,0.47,7.5,7.5,0.0,3.5,1,1,1,1
6,WSLS,7,"{19: 'C', 26: 'C', 17: 'D', 10: 'C'}","{19: 0.31999999999999984, 26: 0.31999999999999984, 17: 0.5, 10: 0.43999999999999995}",18.5,['C'],4,0,"{19: ['C', 'C'], 26: ['C', 'C'], 17: ['D', 'C'], 10: ['C', 'C']}",0.31999999999999984,0.31999999999999984,0.5,0.43999999999999995,9.0,9.0,2.0,5.0,1,1,2,1
7,WSLS,7,"{19: 'C', 26: 'C', 17: 'D', 10: 'C'}","{19: 0.2899999999999998, 26: 0.2899999999999998, 17: 0.52, 10: 0.4099999999999999}",25.0,['C'],3,1,"{19: ['C', 'C'], 26: ['C', 'C'], 17: ['D', 'D'], 10: ['C', 'C']}",0.2899999999999998,0.2899999999999998,0.52,0.4099999999999999,10.5,10.5,3.0,6.5,1,1,2,1
8,WSLS,7,"{19: 'C', 26: 'C', 17: 'C', 10: 'C'}","{19: 0.2599999999999998, 26: 0.2599999999999998, 17: 0.49, 10: 0.4499999999999999}",30.5,['C'],3,1,"{19: ['C', 'C'], 26: ['C', 'C'], 17: ['C', 'C'], 10: ['C', 'D']}",0.2599999999999998,0.2599999999999998,0.49,0.4499999999999999,12.0,12.0,4.5,4.5,1,1,1,1
9,WSLS,7,"{19: 'C', 26: 'C', 17: 'C', 10: 'D'}","{19: 0.2299999999999998, 26: 0.2299999999999998, 17: 0.53, 10: 0.4099999999999999}",33.0,['C'],4,0,"{19: ['C', 'C'], 26: ['C', 'C'], 17: ['C', 'D'], 10: ['D', 'C']}",0.2299999999999998,0.2299999999999998,0.53,0.4099999999999999,13.5,13.5,2.5,6.5,1,1,1,2
10,WSLS,7,"{19: 'C', 26: 'C', 17: 'D', 10: 'D'}","{19: 0.1999999999999998, 26: 0.1999999999999998, 17: 0.49000000000000005, 10: 0.36999999999999994}",36.0,Eq,3,1,"{19: ['C', 'C'], 26: ['C', 'C'], 17: ['D', 'C'], 10: ['D', 'C']}",0.1999999999999998,0.1999999999999998,0.49000000000000005,0.36999999999999994,15.0,15.0,4.5,8.5,1,1,2,2
11,WSLS,7,"{19: 'C', 26: 'C', 17: 'D', 10: 'D'}","{19: 0.1699999999999998, 26: 0.1699999999999998, 17: 0.45000000000000007, 10: 0.38999999999999996}",43.0,Eq,2,2,"{19: ['C', 'C'], 26: ['C', 'C'], 17: ['D', 'C'], 10: ['D', 'D']}",0.1699999999999998,0.1699999999999998,0.45000000000000007,0.38999999999999996,16.5,16.5,6.5,9.5,1,1,2,2
12,WSLS,7,"{19: 'C', 26: 'C', 17: 'D', 10: 'C'}","{19: 0.1399999999999998, 26: 0.1399999999999998, 17: 0.4700000000000001, 10: 0.36}",49.0,['C'],2,2,"{19: ['C', 'C'], 26: ['C', 'C'], 17: ['D', 'D'], 10: ['C', 'C']}",0.1399999999999998,0.1399999999999998,0.4700000000000001,0.36,18.0,18.0,7.5,11.0,1,1,2,1
13,WSLS,7,"{19: 'C', 26: 'C', 17: 'C', 10: 'C'}","{19: 0.10999999999999979, 26: 0.10999999999999979, 17: 0.5100000000000001, 10: 0.39999999999999997}",54.5,['C'],3,1,"{19: ['C', 'C'], 26: ['C', 'C'], 17: ['C', 'D'], 10: ['C', 'D']}",0.10999999999999979,0.10999999999999979,0.5100000000000001,0.39999999999999997,19.5,19.5,5.5,9.0,1,1,1,1
14,WSLS,7,"{19: 'C', 26: 'C', 17: 'D', 10: 'D'}","{19: 0.0799999999999998, 26: 0.0799999999999998, 17: 0.47000000000000014, 10: 0.42}",53.5,Eq,4,0,"{19: ['C', 'C'], 26: ['C', 'C'], 17: ['D', 'C'], 10: ['D', 'D']}",0.0799999999999998,0.0799999999999998,0.47000000000000014,0.42,21.0,21.0,7.5,10.0,1,1,2,2
15,WSLS,7,"{19: 'C', 26: 'C', 17: 'D', 10: 'C'}","{19: 0.049999999999999795, 26: 0.049999999999999795, 17: 0.43000000000000016, 10: 0.39}",59.5,['C'],2,2,"{19: ['C', 'C'], 26: ['C', 'C'], 17: ['D', 'C'], 10: ['C', 'C']}",0.049999999999999795,0.049999999999999795,0.43000000000000016,0.39,22.5,22.5,9.5,11.5,1,1,2,1
16,WSLS,7,"{19: 'C', 26: 'C', 17: 'D', 10: 'C'}","{19: 0.019999999999999796, 26: 0.019999999999999796, 17: 0.3900000000000002, 10: 0.36}",66.0,['C'],3,1,"{19: ['C', 'C'], 26: ['C', 'C'], 17: ['D', 'C'], 10: ['C', 'C']}",0.019999999999999796,0.019999999999999796,0.3900000000000002,0.36,24.0,24.0,11.5,13.0,1,1,2,1
17,WSLS,7,"{19: 'C', 26: 'C', 17: 'D', 10: 'C'}","{19: 0, 26: 0, 17: 0.4100000000000002, 10: 0.32999999999999996}",72.5,['C'],3,1,"{19: ['C', 'C'], 26: ['C', 'C'], 17: ['D', 'D'], 10: ['C', 'C']}",0,0,0.4100000000000002,0.32999999999999996,25.5,25.5,12.5,14.5,1,1,2,1
18,WSLS,7,"{19: 'C', 26: 'C', 17: 'C', 10: 'C'}","{19: 0, 26: 0, 17: 0.4500000000000002, 10: 0.29999999999999993}",78.0,['C'],3,1,"{19: ['C', 'C'], 26: ['C', 'C'], 17: ['C', 'D'], 10: ['C', 'C']}",0,0,0.4500000000000002,0.29999999999999993,27.0,27.0,10.5,16.0,1,1,1,1
19,WSLS,7,"{19: 'C', 26: 'C', 17: 'D', 10: 'C'}","{19: 0, 26: 0, 17: 0.4700000000000002, 10: 0.2699999999999999}",80.5,['C'],4,0,"{19: ['C', 'C'], 26: ['C', 'C'], 17: ['D', 'D'], 10: ['C', 'C']}",0,0,0.4700000000000002,0.2699999999999999,28.5,28.5,11.5,17.5,1,1,2,1
20,WSLS,7,"{19: 'C', 26: 'C', 17: 'C', 10: 'C'}","{19: 0, 26: 0, 17: 0.44000000000000017, 10: 0.2399999999999999}",86.0,['C'],3,1,"{19: ['C', 'C'], 26: ['C', 'C'], 17: ['C', 'C'], 10: ['C', 'C']}",0,0,0.44000000000000017,0.2399999999999999,30.0,30.0,13.0,19.0,1,1,1,1
21,WSLS,7,"{19: 'C', 26: 'C', 17: 'C', 10: 'C'}","{19: 0, 26: 0, 17: 0.48000000000000015, 10: 0.2799999999999999}",92.0,['C'],4,0,"{19: ['C', 'C'], 26: ['C', 'C'], 17: ['C', 'D'], 10: ['C', 'D']}",0,0,0.48000000000000015,0.2799999999999999,31.5,31.5,11.0,17.0,1,1,1,1
22,WSLS,7,"{19: 'C', 26: 'C', 17: 'D', 10: 'D'}","{19: 0, 26: 0, 17: 0.5000000000000001, 10: 0.2399999999999999}",91.0,Eq,4,0,"{19: ['C', 'C'], 26: ['C', 'C'], 17: ['D', 'D'], 10: ['D', 'C']}",0,0,0.5000000000000001,0.2399999999999999,33.0,33.0,12.0,19.0,1,1,2,2
23,WSLS,7,"{19: 'C', 26: 'C', 17: 'C', 10: 'D'}","{19: 0, 26: 0, 17: 0.5400000000000001, 10: 0.1999999999999999}",97.0,['C'],2,2,"{19: ['C', 'C'], 26: ['C', 'C'], 17: ['C', 'D'], 10: ['D', 'C']}",0,0,0.5400000000000001,0.1999999999999999,34.5,34.5,10.0,21.0,1,1,1,2
24,WSLS,7,"{19: 'C', 26: 'C', 17: 'D', 10: 'D'}","{19: 0, 26: 0, 17: 0.5000000000000001, 10: 0.1599999999999999}",100.0,Eq,3,1,"{19: ['C', 'C'], 26: ['C', 'C'], 17: ['D', 'C'], 10: ['D', 'C']}",0,0,0.5000000000000001,0.1599999999999999,36.0,36.0,12.0,23.0,1,1,2,2
25,WSLS,7,"{19: 'C', 26: 'C', 17: 'D', 10: 'D'}","{19: 0, 26: 0, 17: 0.46000000000000013, 10: 0.11999999999999988}",107.0,Eq,2,2,"{19: ['C', 'C'], 26: ['C', 'C'], 17: ['D', 'C'], 10: ['D', 'C']}",0,0,0.46000000000000013,0.11999999999999988,37.5,37.5,14.0,25.0,1,1,2,2
26,WSLS,7,"{19: 'C', 26: 'C', 17: 'D', 10: 'D'}","{19: 0, 26: 0, 17: 0.48000000000000015, 10: 0.07999999999999988}",114.0,Eq,2,2,"{19: ['C', 'C'], 26: ['C', 'C'], 17: ['D', 'D'], 10: ['D', 'C']}",0,0,0.48000000000000015,0.07999999999999988,39.0,39.0,15.0,27.0,1,1,2,2
